"Country_1","ISO3","M49_code","Continent","Subregion","source"
"Algeria","DZA",12,"Africa","Northern Africa","UN M49"
"Argentina","ARG",32,"Americas","South America","UN M49"
"Australia","AUS",36,"Oceania","Australia and New Zealand","UN M49"
"Austria","AUT",40,"Europe","Western Europe","UN M49"
"Bangladesh","BGD",50,"Asia","Southern Asia","UN M49"
"Belgium","BEL",56,"Europe","Western Europe","UN M49"
"Botswana","BWA",72,"Africa","Southern Africa","UN M49"
"Brazil","BRA",76,"Americas","South America","UN M49"
"Bulgaria","BGR",100,"Europe","Eastern Europe","UN M49"
"Cameroon","CMR",120,"Africa","Middle Africa","UN M49"
"Canada","CAN",124,"Americas","Northern America","UN M49"
"Chile","CHL",152,"Americas","South America","UN M49"
"China","CHN",156,"Asia","Eastern Asia","UN M49"
"Colombia","COL",170,"Americas","South America","UN M49"
"Cuba","CUB",192,"Americas","Caribbean","UN M49"
"Cyprus","CYP",196,"Asia","Western Asia","UN M49"
"Czechia","CZE",203,"Europe","Eastern Europe","UN M49"
"Denmark","DNK",208,"Europe","Northern Europe","UN M49"
"Egypt","EGY",818,"Africa","Northern Africa","UN M49"
"Ethiopia","ETH",231,"Africa","Eastern Africa","UN M49"
"Finland","FIN",246,"Europe","Northern Europe","UN M49"
"France","FRA",250,"Europe","Western Europe","UN M49"
"Germany","DEU",276,"Europe","Western Europe","UN M49"
"Ghana","GHA",288,"Africa","Western Africa","UN M49"
"Greece","GRC",300,"Europe","Southern Europe","UN M49"
"Hong Kong","HKG",344,"Asia","Eastern Asia","UN M49"
"Hungary","HUN",348,"Europe","Eastern Europe","UN M49"
"India","IND",356,"Asia","Southern Asia","UN M49"
"Indonesia","IDN",360,"Asia","South-eastern Asia","UN M49"
"Iran","IRN",364,"Asia","Southern Asia","UN M49"
"Ireland","IRL",372,"Europe","Northern Europe","UN M49"
"Israel","ISR",376,"Asia","Western Asia","UN M49"
"Italy","ITA",380,"Europe","Southern Europe","UN M49"
"Japan","JPN",392,"Asia","Eastern Asia","UN M49"
"Kenya","KEN",404,"Africa","Eastern Africa","UN M49"
"Lebanon","LBN",422,"Asia","Western Asia","UN M49"
"Lithuania","LTU",440,"Europe","Northern Europe","UN M49"
"Luxembourg","LUX",442,"Europe","Western Europe","UN M49"
"Macau","MAC",446,"Asia","Eastern Asia","UN M49"
"Malaysia","MYS",458,"Asia","South-eastern Asia","UN M49"
"Malta","MLT",470,"Europe","Southern Europe","UN M49"
"Mauritius","MUS",480,"Africa","Eastern Africa","UN M49"
"Mexico","MEX",484,"Americas","Central America","UN M49"
"Morocco","MAR",504,"Africa","Northern Africa","UN M49"
"Netherlands","NLD",528,"Europe","Western Europe","UN M49"
"New Zealand","NZL",554,"Oceania","Australia and New Zealand","UN M49"
"Nigeria","NGA",566,"Africa","Western Africa","UN M49"
"Norway","NOR",578,"Europe","Northern Europe","UN M49"
"Oman","OMN",512,"Asia","Western Asia","UN M49"
"Pakistan","PAK",586,"Asia","Southern Asia","UN M49"
"Peru","PER",604,"Americas","South America","UN M49"
"Philippines","PHL",608,"Asia","South-eastern Asia","UN M49"
"Poland","POL",616,"Europe","Eastern Europe","UN M49"
"Portugal","PRT",620,"Europe","Southern Europe","UN M49"
"Qatar","QAT",634,"Asia","Western Asia","UN M49"
"Reunion","REU",638,"Africa","Eastern Africa","UN M49"
"Romania","ROU",642,"Europe","Eastern Europe","UN M49"
"Russia","RUS",643,"Europe","Eastern Europe","UN M49"
"Saudi Arabia","SAU",682,"Asia","Western Asia","UN M49"
"Serbia","SRB",688,"Europe","Southern Europe","UN M49"
"Singapore","SGP",702,"Asia","South-eastern Asia","UN M49"
"Slovakia","SVK",703,"Europe","Eastern Europe","UN M49"
"Slovenia","SVN",705,"Europe","Southern Europe","UN M49"
"South Africa","ZAF",710,"Africa","Southern Africa","UN M49"
"South Korea","KOR",410,"Asia","Eastern Asia","UN M49"
"Spain","ESP",724,"Europe","Southern Europe","UN M49"
"Sri Lanka","LKA",144,"Asia","Southern Asia","UN M49"
"State of Palestine","PSE",275,"Asia","Western Asia","UN M49"
"Sweden","SWE",752,"Europe","Northern Europe","UN M49"
"Switzerland","CHE",756,"Europe","Western Europe","UN M49"
"Taiwan","TWN",NA,"Asia","Eastern Asia","manual (not listed in UN M49)"
"Thailand","THA",764,"Asia","South-eastern Asia","UN M49"
"Trinidad and Tobago","TTO",780,"Americas","Caribbean","UN M49"
"Turkey","TUR",792,"Asia","Western Asia","UN M49"
"Ukraine","UKR",804,"Europe","Eastern Europe","UN M49"
"United Arab Emirates","ARE",784,"Asia","Western Asia","UN M49"
"United Kingdom","GBR",826,"Europe","Northern Europe","UN M49"
"United States","USA",840,"Americas","Northern America","UN M49"
"Vietnam","VNM",704,"Asia","South-eastern Asia","UN M49"
"Zimbabwe","ZWE",716,"Africa","Eastern Africa","UN M49"
