Country_1,n,median_evc
Denmark,1,0.9999999999999999
Netherlands (Kingdom of the),7,0.9999999999999998
China,7,0.8082097065891342
Romania,1,0.8082097065891342
Portugal,3,0.7914151839088635
Australia,2,0.7483441047631287
Italy,3,0.7365409488111593
Austria,4,0.541958852416859
Canada,2,0.4911141570729784
Thailand,2,0.4298736936902862
Finland,1,0.3311073396200348
Sweden,5,0.19099759932027185
Mexico,1,0.19099759932027174
Türkiye,1,0.17373822625116306
Japan,2,0.17267818994779024
Ghana,1,0.1543587805753088
Spain,1,0.15245836242268726
United States of America,11,0.1223380544457198
United Kingdom of Great Britain and Northern Ireland,4,0.11841291859907678
Germany,3,0.09493992430128942
India,1,0.08693178044770279
Brazil,1,0.08433827698395359
Ireland,1,0.058397059215671995
Cyprus,1,0.05839705921567193
Greece,1,0.05839705921567193
Nigeria,1,0.03548616485139379
Republic of Korea,1,0.027838192808692618
