Subregion_1,n,median_evc
Eastern Europe,1,0.8082097065891342
Eastern Asia,10,0.7621201074742101
Australia and New Zealand,2,0.7483441047631287
Southern Europe,8,0.7446858840135772
Western Europe,14,0.541958852416859
South-eastern Asia,2,0.4298736936902862
Northern Europe,12,0.19099759932027185
Central America,1,0.19099759932027174
Northern America,13,0.16722545597445662
Western Asia,2,0.11606764273341749
Western Africa,2,0.0949224727133513
Southern Asia,1,0.08693178044770279
South America,1,0.08433827698395359
