Country_1,n,median_sc,p_value
Australia,2,0.7483441047631287,0.09271042167186787
Austria,4,0.5419588524168593,0.09271042167186787
Brazil,1,0.08433827698395352,0.09271042167186787
Canada,2,0.49111415707297823,0.09271042167186787
China,7,0.808209706589134,0.09271042167186787
Cyprus,1,0.058397059215671766,0.09271042167186787
Denmark,1,0.9999999999999999,0.09271042167186787
Finland,1,0.33110733962003464,0.09271042167186787
Germany,3,0.09493992430128916,0.09271042167186787
Ghana,1,0.15435878057530855,0.09271042167186787
Greece,1,0.058397059215671704,0.09271042167186787
India,1,0.08693178044770265,0.09271042167186787
Ireland,1,0.05839705921567173,0.09271042167186787
Italy,3,0.7365409488111592,0.09271042167186787
Japan,2,0.17267818994779,0.09271042167186787
Mexico,1,0.19099759932027152,0.09271042167186787
Netherlands (Kingdom of the),7,0.9999999999999999,0.09271042167186787
Nigeria,1,0.03548616485139367,0.09271042167186787
Portugal,3,0.7914151839088636,0.09271042167186787
Republic of Korea,1,0.027838192808692503,0.09271042167186787
Romania,1,0.808209706589134,0.09271042167186787
Spain,1,0.15245836242268707,0.09271042167186787
Sweden,5,0.1909975993202718,0.09271042167186787
Thailand,2,0.4298736936902861,0.09271042167186787
Türkiye,1,0.17373822625116292,0.09271042167186787
United Kingdom of Great Britain and Northern Ireland,4,0.1184129185990766,0.09271042167186787
United States of America,11,0.12233805444571966,0.09271042167186787
