Journal,n_editors,eigenvector,degree,community,median_evc,mean_evc,gini_evc
ACS Sustainable Chemistry and Engineering,1,0,1,1,0,0,0
Annual Review of Environment and Resources,3,0.13030081747731412,5,2,0.05153768079143794,0.06043300656004709,0.1401179230502431
ChemSusChem,2,0,2,1,0,0,0
Current Opinion in Environmental Sustainability,9,0.36118992850524667,9,2,0.08693178044770265,0.17885481740193662,0.48213991938759787
Earth Systems Governance,5,0.15028540153806474,4,2,0.0583011055563262,0.08326712753134699,0.3842366864663873
Ecological Economics,5,0.21880204196262512,6,3,0.12233805444571966,0.2822567586954572,0.5109322034080247
Ecology and Society,11,0.5332323093243917,8,2,0.19099759932027147,0.1535977999842858,0.20987334050156906
"Environment, Development, and Sustainability",6,0.2919034666693668,4,3,0.4858317389732135,0.47335020041399806,0.34259569527865086
Environmental Innovation and Societal Transitions,4,0.2861409351037509,6,2,0.28678356176671777,0.35264324847265693,0.368317752626415
Environmental Research Letters,3,0.1163995273631098,3,2,0.04835284025054173,0.27228283507489026,0.5692800487155946
Global Environmental Change,2,0.051622630498396105,2,2,0.03215021547087961,0.03215021547087961,0.2849033685182385
Green Chemistry,1,0,1,1,0,0,0
International Journal of Precision Engineering and Manufacturing-Green Technology,1,0.008420585798724617,1,4,0.027838192808692503,0.027838192808692503,0
International Journal of Sustainability in Higher Education,6,0.30552184248670144,4,3,0.5078524126851504,0.47441861843540883,0.3504781475258856
International Journal of Sustainable Development and World Ecology,1,0.02307451721182089,1,5,0.08433827698395352,0.08433827698395352,0
Journal of Cleaner Production,29,1,13,3,0.808209706589134,0.8488088602834694,0.06494619570553677
Journal of Industrial Ecology,12,0.7730185445663164,4,3,0.9999999999999999,0.8412557235658609,0.14320487840704196
PNAS (Sustainability Science),7,0.3909211917829907,7,2,0.08393310101082159,0.12335244000240354,0.34060339670229006
Renewable Energy,5,0.11149411553996616,3,4,0.05839705921567173,0.18791406385337336,0.6034271125596706
Renewable and Sustainable Energy Reviews,5,0.15594503875323035,3,4,0.058397059215671766,0.21795863451935352,0.5433231270752475
Sustainability Science,18,0.7303329268341882,10,2,0.19099759932027152,0.27487808931837515,0.3075284887441527
Sustainable Cities and Society,2,0.11579727008475842,2,6,0.4022095740975203,0.4022095740975203,0.4107836803793612
Sustainable Development,2,0.15104986945622573,1,3,0.7528308192159949,0.7528308192159949,0
Sustainable Production and Consumption,5,0.34067073911717016,3,3,0.808209706589134,0.6860280527948184,0.15034851483731018
World Development,4,0.22112338097513295,5,2,0.08145418093562909,0.08757349232296631,0.25517938058389333
